["52a9f998f043a43e376967ad909b1215","2019-12-24 19:50:55"]
["8035f9421f09e4be146379ad8a76007b","2019-12-24 19:52:01"]
["8035f9421f09e4be146379ad8a76007b","2019-12-24 19:52:01"]
["52a9f998f043a43e376967ad909b1215","2019-12-24 19:52:05"]
["52a9f998f043a43e376967ad909b1215","2019-12-24 19:52:05"]
["52a9f998f043a43e376967ad909b1215","2019-12-24 19:52:15"]
["52a9f998f043a43e376967ad909b1215","2019-12-24 19:52:16"]
["52a9f998f043a43e376967ad909b1215","2019-12-24 19:53:58"]
["52a9f998f043a43e376967ad909b1215","2019-12-24 19:53:58"]
["52a9f998f043a43e376967ad909b1215","2019-12-24 19:54:06"]
["52a9f998f043a43e376967ad909b1215","2019-12-24 19:54:07"]
["52a9f998f043a43e376967ad909b1215","2019-12-24 19:54:35"]
["52a9f998f043a43e376967ad909b1215","2019-12-24 19:54:36"]
["52a9f998f043a43e376967ad909b1215","2019-12-24 19:54:44"]
["52a9f998f043a43e376967ad909b1215","2019-12-24 19:54:45"]
["812c38bdc9a001479154243a1b536d51","2019-12-24 19:56:58"]
["812c38bdc9a001479154243a1b536d51","2019-12-24 19:57:01"]
["812c38bdc9a001479154243a1b536d51","2019-12-24 19:57:02"]
["812c38bdc9a001479154243a1b536d51","2019-12-24 19:57:42"]
["f611c9111d91494a1bf0890a08a988bc","2019-12-24 20:02:58"]
["f611c9111d91494a1bf0890a08a988bc","2019-12-24 20:02:59"]
["f611c9111d91494a1bf0890a08a988bc","2019-12-24 20:03:00"]
["38f71ef9483939808b52f280e153b7b9","2019-12-24 20:03:31"]
["38f71ef9483939808b52f280e153b7b9","2019-12-24 20:03:31"]
["ec296ac2d4f064b2c56277d6b8a0a21a","2019-12-24 20:27:03"]
["ec296ac2d4f064b2c56277d6b8a0a21a","2019-12-24 20:27:05"]
["ec296ac2d4f064b2c56277d6b8a0a21a","2019-12-24 20:27:05"]
["ec296ac2d4f064b2c56277d6b8a0a21a","2019-12-24 20:27:58"]
["ec296ac2d4f064b2c56277d6b8a0a21a","2019-12-24 20:28:00"]
["839932a68b795e4f77180627ed42fb73","2019-12-24 21:02:27"]
["839932a68b795e4f77180627ed42fb73","2019-12-24 21:02:27"]
["d0e8ddbe25c51b227aa4d76703c05911","2019-12-24 21:02:29"]
["b29b6aa9dd3cff315200e6c7cb843111","2019-12-24 21:02:30"]
["26e39bf6148443db1ac43afcd0f4742b","2019-12-24 21:02:35"]
["48aef998fc0b9cb37ca57a6b497c8ba9","2019-12-24 21:02:36"]
["235801ef4bf80fe4e53a868e5f1fce56","2019-12-24 21:02:36"]
["9701883ed15f074b59ed082588933cdc","2019-12-24 21:02:36"]
["5731e02ea96af97d2fa6fd4ffdee779b","2019-12-24 21:02:36"]
["5731e02ea96af97d2fa6fd4ffdee779b","2019-12-24 21:02:38"]
["40a1c3bdcd5d902d6bc0fa6b26912530","2019-12-24 21:02:38"]
["9b0c8d99f14c3348bd05ae68bc67ded2","2019-12-24 21:02:38"]
["e870b38de1b9f8509934fb0c4cb49c70","2019-12-24 21:02:38"]
["91db93845027007a866187c932f0aad4","2019-12-24 21:02:38"]
["e870b38de1b9f8509934fb0c4cb49c70","2019-12-24 21:02:38"]
["9b0c8d99f14c3348bd05ae68bc67ded2","2019-12-24 21:02:38"]
["40a1c3bdcd5d902d6bc0fa6b26912530","2019-12-24 21:02:38"]
["9b0c8d99f14c3348bd05ae68bc67ded2","2019-12-24 21:02:38"]
["40a1c3bdcd5d902d6bc0fa6b26912530","2019-12-24 21:02:38"]
["40a1c3bdcd5d902d6bc0fa6b26912530","2019-12-24 21:02:38"]
["e870b38de1b9f8509934fb0c4cb49c70","2019-12-24 21:02:38"]
["60543c42edf549aa68345fcd3fe6d63a","2019-12-24 21:02:38"]
["20ca0bddcd713c6262ddf5fb8abb15a4","2019-12-24 21:02:38"]
["67cbff3c765d3706c348bb31dbbc4f57","2019-12-24 21:02:38"]
["235801ef4bf80fe4e53a868e5f1fce56","2019-12-24 21:02:40"]
["20ca0bddcd713c6262ddf5fb8abb15a4","2019-12-24 21:02:40"]
["3a4a2cc3024c9801d8fbe709afa4c2cb","2019-12-24 21:02:41"]
["08a94ffaa0b3d0e9f635d63751ca9c0a","2019-12-24 21:02:43"]
["2d676408300096c057d4abba1f168e3b","2019-12-24 21:15:46"]
["2d676408300096c057d4abba1f168e3b","2019-12-24 21:15:47"]
["2d676408300096c057d4abba1f168e3b","2019-12-24 21:15:48"]
["2d676408300096c057d4abba1f168e3b","2019-12-24 21:16:02"]
["2d676408300096c057d4abba1f168e3b","2019-12-24 21:16:03"]
["2d676408300096c057d4abba1f168e3b","2019-12-24 21:16:11"]
["2d676408300096c057d4abba1f168e3b","2019-12-24 21:16:12"]
["2d676408300096c057d4abba1f168e3b","2019-12-24 21:16:19"]
["2d676408300096c057d4abba1f168e3b","2019-12-24 21:16:20"]
["2d676408300096c057d4abba1f168e3b","2019-12-24 21:16:25"]
["2d676408300096c057d4abba1f168e3b","2019-12-24 21:16:26"]
["2d676408300096c057d4abba1f168e3b","2019-12-24 21:16:33"]
["2d676408300096c057d4abba1f168e3b","2019-12-24 21:16:33"]
["2d676408300096c057d4abba1f168e3b","2019-12-24 21:16:37"]
["2d676408300096c057d4abba1f168e3b","2019-12-24 21:16:38"]
["2d676408300096c057d4abba1f168e3b","2019-12-24 21:16:49"]
["2d676408300096c057d4abba1f168e3b","2019-12-24 21:16:49"]
["2d676408300096c057d4abba1f168e3b","2019-12-24 21:17:07"]
["2d676408300096c057d4abba1f168e3b","2019-12-24 21:17:08"]
["2d676408300096c057d4abba1f168e3b","2019-12-24 21:17:13"]
["2d676408300096c057d4abba1f168e3b","2019-12-24 21:17:21"]
["2d676408300096c057d4abba1f168e3b","2019-12-24 21:17:22"]
["2d676408300096c057d4abba1f168e3b","2019-12-24 21:17:22"]
["e779bcba78c6b5131cfd443301db76d9","2019-12-24 21:45:43"]
["e779bcba78c6b5131cfd443301db76d9","2019-12-24 21:46:36"]
["e779bcba78c6b5131cfd443301db76d9","2019-12-24 21:47:12"]
["2bb5184bd39a028ae5792f0b908b11fb","2019-12-24 22:02:02"]
